* DEMO HOTELS
* Data was loaded from the application "Sample Hotel Search" on the day 2013-05-25 from a
* resource: http://api.hotelsbase.org/search.php?longitude=14.421138&latitude=50.087533
*
* License (http://api.hotelsbase.org/documentation.php):
* Each page that uses hotelsbase data must link to hotelsbase.org, in any many you choose.
* Hotelsbase (http://www.hotelbase.org/) is licensed under a Creative Commons Attribution-ShareAlike 3.0 Unported License.
* Creative Commons License

NAME;NOTE;CITY;STREET;PHONE;STARS;HOME_PAGE;PRICE;ACTIVE
Elite Hotel Prague;a Hotel in Prague,Czech Republic.;-81;Ostrovni 32;420 211 151 300;4;http://www.hotelelite.cz/en/;39;true
Aparthotel Na Belidle;a Apartment in Prague,Czech Republic.;-81;Na Belidle 27;;3;http://aparthotelnabelidle-prague.com/;32;true
Apartments Emma;a Apartment in Prague,Czech Republic.;-81;Oldrichova 9;;3;http://apartments-emma.com/;32;true
Kavalir Hotel;a Hotel in Prague,Czech Republic.;-81;Plzenska 177;+420 257 216 565;3;http://www.hotelkavalirprague.cz/;32;true
Rezidence Emmy;a Hotel in Prague,Czech Republic.;-81;K Zelené louce 2a;+420 246 020 000;4;http://www.emmy.cz/;40;true
Royal Court Boutique Hotel and Spa;a Hotel in Prague,Czech Republic.;-81;Wenzigova 1873/6;;4;http://royalcourthotel.cz/index.php?id=23;40;true
Sprint Penzion;a Inn in Prague,Czech Republic.;-81;Cukrovarnicka 64;;2;http://penzionsprint.cz/;24;true
Sunflower Hotel Prague;a Hotel in Prague,Czech Republic.;-81;Oldrichova 31;;3;http://prague.cz/;32;true
The Bridge B&B;a Bed and Breakfast in Prague,Czech Republic.;-81;Zborovska 14 Smichov;+44 (0)1350 727068;2;http://www.thebridge-dunkeld.co.uk/;24;true
Belvedere Hotel Prague;a Hotel in Prague,Czech Republic.;-81;Milady Horakove 19;;4;http://www.hotels-in-prague-czech.com/hotel-diplomat.php;41;true
Euroagentur Art Hotel Embassy;a Hotel in Prague,Czech Republic.;-81;Petrska 31;;4;http://www.arthotelembassy.com/;41;true
Hotel Union Praha;a Hotel in Prague,Czech Republic.;-81;Ostrčilovo nám 4/468;123456789101112131;4;http://www.hotelunion.cz/;41;true
Hotel Vysehrad;a Hotel in Prague,Czech Republic.;-81;Marie Cibulkove 29;;4;http://www.hotel-vysehrad.cz/;41;true
Panorama Hotel Prague;a Hotel in Prague,Czech Republic.;-81;Milevska 7;(+420)-26116-1111;4;http://www.panoramahotelprague.com;41;true
Raffaello Hotel Prague;a Hotel in Prague,Czech Republic.;-81;Legerova 54;;4;http://raffaello-hotel-prague.h-rez.com/;41;true
Atos Hotel;a Hotel in Prague,Czech Republic.;-81;Melnicka 13;+420-251 512 890;3;http://www.hotelatos.cz/;33;true
Easy Journey Pension Prague;a Place in Prague,Czech Republic.;-81;Praha 5 - Plzeňská 22;;3;http://www.in-prague.org/prague-pensions/pension-easy-journey-prague-5/;33;true
Gallery Hotel SIS;a Hotel in Prague,Czech Republic.;-81;Rostislavova 17;;3;http://galleryhotelsis.com/;33;true
Krystal CDMS Praha;a Hotel in Prague,Czech Republic.;-81;J. Martího 2/407;;3;http://www.prague-hotel-krystal.cz/;33;true
Villa Edvin Pension Prague;a Hotel in Prague,Czech Republic.;-81;Rosecska 15/1736 Prague 4;;3;http://www.in-prague.org/prague-pensions/pension-villa-venus-prague-8/;33;true
Botel Vodnik Prague;a Hotel in Prague,Czech Republic.;-81;Strakonicka 1032/2;;2;http://www.botel-vodnik-prague.com/;25;true
Golfyacht Botel Prague;a Hotel in Prague,Czech Republic.;-81;Rohanský Ostrov;;4;http://www.pragueshotels.com/;42;true
Hotel Ehrlich Prague;a Hotel in Prague,Czech Republic.;-81;Konevova 79;;4;http://www.praguehoteldesk.com/;42;true
Hotel Mucha;a Hotel in Prague,Czech Republic.;-81;Sokolovska 26;+420 222 318 849;4;http://www.hotelmucha.cz/;42;true
Hotel Abri;a Hotel in Prague,Czech Republic.;-81;Jana Masaryka 36;(415) 392-8800;3;http://hotelabrisf.com/;34;true
Hotel Branik;a Hotel in Prague,Czech Republic.;-81;Pikovicka 199;+420-244-462-844;3;http://www.hotelbranik.cz/;34;true
Jeleni Dvur Hotel;a Hotel in Prague,Czech Republic.;-81;Jeleni 199;;3;http://jelenidvurhotelprague.com/;34;true
Merkur Hotel Prague;a Hotel in Prague,Czech Republic.;-81;Tesnov 1162/9;420-22232-3878;3;http://merkurhotelprague.priorguest.com/it;34;true
Mad Hostel Madrid;a Hostel in Madrid,Spain.;-28;C/ de la Cabeza 24; +34 914 20 05 83;2.5;http://www.wayhostel.com;16;true
Splendom Suites Madrid;a Apartment in Madrid,Spain.;-28;Alcalá 57; +34 917 81 65 61;4;http://www.splendomsuites.com;25;true
Hostal Castro;a Hotel in Madrid,Madrid,Spain.;-28;Leon, 13,Madrid,Madrid,Spain; +34 661 21 03 28;3.5;http://www.budgetplaces.com;29;true
No Name City Hostel;a Hostel in Madrid,Spain.;-28;Calle Atocha 45; +34 913 69 29 19;2;http://www.nonamecityhostel.com;20;true
Pension Lemus Madrid;a Place in Madrid,Spain.;-28;Calle Hortaleza 7;;3;http://www.madridman.com/madridhostels.html;28;true
Hostal Estrella;a Hotel in Madrid,Madrid,Spain.;-28;c/ La Estrella 5 - 2 Derecha,Madrid,Madrid,Spain; +34 915 21 75 85;4.0;http://www.hostalhelena.com;35;true
Hostal Huespedes Toledo;a Hotel in Madrid,Madrid,Spain.;-28;Calle Conde de Romanones 10, 3 ext/izda,Madrid,Madrid,Spain; +34 914 29 29 70;4.0;http://huespedestoledo.com;35;true
Hostal Casa Bueno;a Hotel in Madrid,Madrid,Spain.;-28;Calle Fuencarral 10, 4th floor,Madrid,Madrid,Spain; +34 915 22 89 83;4.5;http://www.hostalcasabueno.com;40;true
Hostal Residencia Arti II Madrid;a Place in Madrid,Spain.;-28;San Leonardo 12;;2;http://hotelsinmadridspain.net/tag/accommodation/;22;true
Hostal Residencia Arti Madrid;a Hostel in Madrid,Spain.;-28;Gran Vía 76;+34 91 435 07 60;2;http://www.hostaldondiego.com/;23;true
Hostal Artic;a Hotel in Madrid,Madrid,Spain.;-28;Gatzambide 57,Madrid,Madrid,Spain; +34 915 47 66 00;4.0;http://www.arti.es;39;true
Hostal Chelo Madrid;a Hostel in Madrid,Spain.;-28;Hortaleza 17 3º Izquierda;;3;http://www.madridman.com/madridhostels.html;32;true
Hostal Numancia Madrid;a Hostel in Madrid,Spain.;-28;Magdalena 8;+34 91 530 24 18;2;http://www.hostalnumancia-madrid.com/;24;true
Magda Hostel Madrid;a Hostel in Madrid,Spain.;-28;Calle de la Magdalena 5;;2;http://www.magdahostelmadrid.com/;25;true
Hostal Equity Point Madrid;a Hostel in Madrid,Spain.;-28;C/ Cruz 5;;2;http://www.equity-point.com/;26;true
Hostal Jemasaca-Palma61;a Hotel in Madrid,Madrid,Spain.;-28;C/ La Palma, 61,Madrid,Madrid,Spain; +34 915 32 70 11;3.5;http://www.hostaljemasaca-palma61.com;39;true
Hostal Maria Reloba;a Hotel in Madrid,Madrid,Spain.;-28;Calle Espoz y Mina 8,Madrid,Madrid,Spain; +34 915 32 43 03;3.5;http://www.hostalmariareloba.com;40;true
Hostal Bahia Madrid;a Hostel in Madrid,Spain.;-28;Calle Carretas 31 2 Izquierda; +34 915 22 98 46;3;http://www.hostalbahiamadrid.es;36;true
NH La Habana;a Hotel in Madrid,Spain.;-28;Paseo de la Habana 73;+ 34 914 430 720;4;http://www.nh-hotels.com/nh/en/hotels/spain/madrid/nh-la-habana.html?nhagentid=10755&nhsubagentid=107555220035;46;true
Silken Puerta de Madrid;a Hotel in Madrid,Spain.;-28;Juan Rizi 5;+34 917 445 400;4;http://www.hoteles-silken.com/hotel-puerta-america-madrid/;46;true
Tijcal II Hostal Madrid;a Hostel in Madrid,Spain.;-28;Calle Cruz 26;;3;http://www.hostaltijcal.com/;37;true
High Tech Arturo Soria;a Hotel in Madrid,Spain.;-28;C/ Arturo Soria 14;;4;http://high-tech-arturo-soria-alcala.com/;47;true
Hostal Zamoran;a Hotel in Madrid,Madrid,Spain.;-28;C/ Fuencarral, No 18,Madrid,Madrid,Spain; +34 915 32 20 60;4.0;http://www.hostalzamoran.com;47;true
Hostal Prim;a Hotel in Madrid,Madrid,Spain.;-28;Calle de Prim, 15, 2a planta,Madrid,Madrid,Spain; +34 915 21 54 95;4.0;http://www.hostalprim.com;47;true
Hostal Welcome Madrid;a Hostel in Madrid,Spain.;-28;Calle Casas de Miravete 28 B;+34 914 291 188;1;http://www.hostal-astoria.com/;19;true
Hostal Condestable Madrid;a Hostel in Madrid,Spain.;-28;c/ de la Puebla 15 2º izda;;2;http://www.madridman.com/madridhostels.html;29;true
Hostal Nuestra Senora de la Paloma;a Hostel in Madrid,Spain.;-28;Esparteros street Nr 12 3rd Floor;;2;http://www.anuestrasenoradelapaloma.com/english/index.html;29;true
Eurostars Zarzuela Park;a Hotel in Madrid,Spain.;-28;Dario Aparicio S/N;+44(0)8435080328;4;http://www.eurostarshotels.co.uk/eurostars-zarzuela-park.html;49;true
Osuna Hotel;a Hotel in Madrid,Spain.;-28;Luis De La Mata 18;+34 91 741 81 00;4;http://www.hotelosuna.es/;49;true
Silken Puerta Castilla Hotel;a Hotel in Madrid,Spain.;-28;Paseo de la Castellana 191;+34 914 531 900;4;http://www.hoteles-silken.com/hotel-puerta-castilla-madrid/en/;49;true
Hostal Regio;a Hotel in Madrid,Madrid,Spain.;-28;Chincilla 4,Madrid,Madrid,Spain; +34 915 32 03 54;4.0;http://www.hostalregio.es;49;true
Hostal La Jerezana Madrid;a Hostel in Madrid,Spain.;-28;De La Cruz 26;0034 91 531 93 27;3;http://hostallajerezana.com/IN/index.php;40;true
Hostal Maria Alcazar II;a Hostel in Madrid,Spain.;-28;Calle Miguel Moya 4;6502906-3;2;http://www.infohostal.com/guia/madrid/madrid/alojamiento/8570/hostal-maria.html;30;true
NH Mercader;a Hotel in Madrid,Spain.;-28;Carretera Eje 2-7a Políg Aliment.Mercamadrid;+34 913302400;4;http://www.nh-hotels.com/nh/en/hotels/spain/madrid/nh-mercader.html?nhagentid=10755&nhsubagentid=107555220035;50;true
Hotel Gran Atlanta;a Hotel in Madrid,Spain.;-28;C/ Comandante Zorita 34;+34 91 553 59 00;4;http://www.hotelgranatlanta.com/;51;true
Hostal Almanzor;a Hotel in Madrid,Madrid,Spain.;-28;Carrera San Jeronimo, 11,Madrid,Madrid,Spain; +34 914 29 38 01;4.0;http://www.hostalalmanzormadrid.com;51;true
Hostal Regio Madrid;a Hostel in Madrid,Spain.;-28;Chinchilla 4;;3;http://www.gomadrid.com/;41;true
Hostal Rico;a Hotel in Madrid,Madrid,Spain.;-28;Calle de Fuencarral 22,Madrid,Madrid,Spain; +34 915 31 95 87;2.5;http://www.hostalrico.es;36;true
Hostal Asuncion;a Hotel in Madrid,Spain.;-28;Plaza de Santa Bárbara 8 2º Piso D;+34 913 082 348;2;http://www.hostalasuncion.es/en/;31;true
Hostal Dolce Vita Madrid;a Hotel in Madrid,Spain.;-28;Calle de San Bartolomé 4;;2;http://www.gomadrid.com/hostels/Hostal-Dolce-Vita.html;31;true
Hostal Splendid;a Hotel in Madrid,Spain.;-28;C/ Gran Via 15;;2;http://hostalsplendid.com/;31;true
Salamanca Hostal Madrid;a Hotel in Madrid,Spain.;-28;Calle C/ Jose Ortega y Gasset 89;;2;http://www.hostalsalamanca.com/en-index.html;31;true
Hostal Orly;a Hotel in Madrid,Madrid,Spain.;-28;Calle Montera; +34 915 31 30 12;3.5;http://www.hostalorlymadrid.com;47;true
Confortel Alcala Norte;a Hotel in Madrid,Spain.;-28;Calle San Romualdo 30;1241205-1;4;http://www.confortelhoteles.com/en/;53;true
Analina Rooms;a Hotel in Madrid,Madrid,Spain.;-28;Cala Espada, 6,Madrid,Madrid,Spain; +34 913 69 19 14;4.0;http://www.analinarooms.com;53;true
Hostal Besaya;a Hotel in Madrid,Madrid,Spain.;-28;San Bernardo, 13 - 8a,Madrid,Madrid,Spain; +34 917 58 76 30;4.0;http://www.hostalbesaya.com;53;true
Hostal del Pez Azul;a Hostel in Madrid,Spain.;-28;C/ del Pez 9; +34 915 32 47 45;3;http://www.hostaldelpezazul.com;43;true
Hostal Luis XV;a Hotel in Madrid,Spain.;-28;Calle de la Montera 47; +34 915 22 10 21;3;http://www.hrluisxv.net;43;true
Hostal Huespedes Toledo Madrid;a Hostel in Madrid,Spain.;-28;Conde Romanones 10 3º Ext Izq;;2;http://www.madridman.com/madridhostels.html;33;true
Senator Espana Spa Hotel;a Hotel in Madrid,Spain.;-28;Gran Via 70;;4;http://hotelspasenatorespana.com/;55;true
Senator Gran Via Hotel;a Hotel in Madrid,Spain.;-28;C/ Gran Via 21;15404287-15;4;http://www.senatorhotelgranvia.com/index.html;55;true
Hostal Olga;a Hotel in Madrid,Madrid,Spain.;-28;C/ Zorrilla, 13,Madrid,Madrid,Spain; +34 914 29 78 87;4.0;http://www.hostalolgamadrid.com;55;true
Travelodge Torrelaguna Madrid;a Hotel in Madrid,Spain.;-28;C/ Torrelaguna 69;1-800-525-4055;3;http://www.travelodge.co.uk/search_and_book/hotel_overview.php?hotel_id=271;45;true
Hostal Villagarcia;a Hotel in Madrid,Madrid,Spain.;-28;Fuencarral 10, 3rd floor,Madrid,Madrid,Spain; +34 915 22 05 85;3.0;http://www.hostalvillagarcia.com;45;true
Hostal La Fontana;a Hostel in Madrid,Spain.;-28;Calle Valverde 6; +34 915 21 84 49;2;http://www.hostallafontana.com;34;true
Veguin Hostal;a Hostel in Madrid,Spain.;-28;Calle de Fuencarral 16;915 314 791;2;http://hostal-veguin-en--madrid.buscalis.com/;34;true
Confortel Atrium;a Hotel in Madrid,Spain.;-28;C/ Emilio Vargas 3-5;+34 913 98 38 70;4;http://www.confortelatrium.com/;57;true
Hotel Zenit Conde de Orgaz;a Hotel in Madrid,Spain.;-28;Avenida Moscatelar 24;91 218 20 28;4;http://hotelzenitcondedeorgaz.zenithoteles.com/;57;true
Insignia Arturo Soria Suites;a Hotel in Madrid,Spain.;-28;C/ Juan Perez Zuniga 20;20 - 28027;4;http://arturosoriasuites.com/en/index.html;57;true
NH Prisma;a Hotel in Madrid,Spain.;-28;Santa Engracia 120;;4;http://www.nh-hotels.com/nh/en/hotels/spain/madrid/nh-suites-prisma.html?nhagentid=10755&nhsubagentid=107555220035;57;true
Hostal Florida;a Hotel in Madrid,Madrid,Spain.;-28;Calle Doctor Cortezo No. 15,Madrid,Madrid,Spain; +34 914 29 83 32;2.5;http://www.hostalflorida.com;40;true
Tryp Leganes;a Hotel in Leganes,Spain.;-28;Avenida de la Universidad 7;(34) 91 1844900;3;http://www.tryphotels.com/en/tryp-leganes-hotel-leganes-madrid-spain.html;46;true
Apartamentos Juan Bravo;a Apartment in Madrid,Spain.;-28;Juan Bravo 58-60;;4;http://www.apartamentos-jb.com/;58;true
Ayre Gran Hotel Colon;a Hotel in Madrid,Spain.;-28;C/ del Pez Volador 1-11;+34 91 4009900;4;http://www.ayrehoteles.com/en/hotels/ayre-gran-hotel-colon-madrid/the-hotel/home/;58;true
Hotel El Coloso;a Hotel in Madrid,Spain.;-28;Leganitos 13; +34 915 48 76 40;4;http://www.hotelcoloso.com;58;true
Suites Husa Mirador de Chamartin;a Hotel in Madrid,Spain.;-28;Del Arte 14;902 100 710;4;http://www.husa.es/en/nuestros-hoteles/hotel/v/u/husa-mirador-de-chamartin;58;true
Hostal San Martin Madrid;a Hostel in Madrid,Spain.;-28;Calle Concepción Arenal 4 - 4º;+34 91 429 1591;2;http://www.hostalsanisidro.com/;35;true
Hostal Valencia Madrid;a Hostel in Madrid,Spain.;-28;C/ Gran Vía Nº44 5º;;3;http://www.madridman.com/madridhostels.html;47;true
Agora Juan de Austria;a Hotel in Madrid,Spain.;-28;C/ Juan De Austria 5;;4;http://madrid-juandeaustria.com/;59;true
Barcelo Torre Arias;a Hotel in Madrid,Spain.;-28;Julian Camarillo 19-21;(00 800 4 227 23 5;4;http://www.barcelo.com/BarceloHotels/en-GB/Hotels/Spain/Madrid/TorreArias/Home;59;true
Gran Versalles Hotel;a Hotel in Madrid,Spain.;-28;C/ Covarrubias 4 & 6;914 475 700;4;http://www.hotelgranversalles.es/;59;true
Hotel Nuevo Madrid;a Hotel in Madrid,Spain.;-28;C/ Bausa 27;+34 91 298 26 00;4;http://www.hotelnuevomadrid.com/;59;true
Apartamentos H2 Doctor Piga Madrid;a Apartment in Madrid,Spain.;-28;c/ Doctor Piga 15;;3;http://www.softguide-madrid.com/madrid_guide/accommodation/Apartamentos-Doctor-Piga-Madrid.html;48;true
Etap Hotel Madrid Vallecas;a Hotel in Madrid,Spain.;-28;C/ Casas de Miravete 17;;2.5;http://www.etaphotel.com/gb/home/index.shtml;42;true
Etap Madrid Valentin Beato;a Hotel in Madrid,Spain.;-28;Rufino Gonzalez 19 (Metro Suanzes);(+34)913040441;2.5;http://www.etaphotel.com/gb/hotel-5100-etap-madrid-valentin-beato-futuro-ibis-budget/location.shtml;42;true
Foxa 32 Suites;a Hotel in Madrid,Spain.;-28;Agustín Foxa 32;;4;http://www.hotelesfoxa.com/;60;true
Hostal Alcazar Regis;a Hostel in Madrid,Spain.;-28;Gran Via 61 5º piso; +34 915 47 93 17;2;http://www.hostalalcazarregis.com;36;true
Hostal Concepcion Arenal Madrid;a Hostel in Madrid,Spain.;-28;Concepcion Arenal 6 Piso 3º;91 522 68 83;2;http://www.hostalconcepcionarenal.es/;36;true
Hostal la Perla Asturiana;a Hotel in Madrid,Spain.;-28;Plaza de Santa Cruz 3;3 - 28012;2;http://www.perlaasturiana.com/;36;true
